Transaction_ID,Date,Truck_ID,Employee_ID,Menu_Item_ID,Quantity,Unit_Price,Amount,Tip,Payment_Method,Event_ID
TXN00001,11/27/2024,T003,E002,M008,2,12.99,25.98,5.41,VENMO,EV014
TXN00002,01/21/2024,T002,E012,M008,5,13.49,67.45,,Credit Card,
TXN00003,08/06/2024,T003,E002,M001,2,11.49,22.98,1.24,Credit card,EV003
TXN00004,07/17/2024,T003,E002,M020,3,8.99,26.97,4.29,Venmo,
TXN00005,03-06-2024,T003,E005,M019,2,10.99,21.98,,Credit Card,EV003
TXN00006,03-05-2024,T004,E012,M009,4,9.49,37.96,2.84,credit card,EV003
TXN00007,11-11-2024,T002,E004,M006,4,11.49,45.96,7.4,VENMO,EV011
TXN00008,02/02/2024,T001,E012,M011,4,6.99,27.96,,Zelle,EV011
TXN00009,22-04-2024,T004,E009,M021,4,12.99,51.96,1.97,VENMO,EV009
TXN00010,10/30/2024,T004,E002,M012,2,12.99,25.98,0.73,Cash,EV005
TXN00011,11/21/2024,T004,E005,M020,1,11.49,11.49,7.97,VENMO,
TXN00012,10-01-2024,T001,E007,M022,5,6.99,34.95,2.72,credit card,EV006
TXN00013,08/24/2024,T003,E011,M017,2,15.99,31.98,6.96,credit card,
TXN00014,11/11/2024,T003,E010,M025,2,15.99,31.98,7.38,Cash,EV011
TXN00015,09/11/2024,T003,E002,M010,2,8.99,17.98,4.54,CASH,
TXN00016,09-02-2024,T002,E007,M005,4,15.99,63.96,4.22,Zelle,EV007
TXN00017,07-10-2024,T002,E009,M023,3,11.49,34.47,5.2,venmo,EV015
TXN00018,03/06/2024,T001,E002,M011,1,13.49,13.49,4.71,Cash,EV002
TXN00019,05/01/2024,T001,E009,M011,1,15.99,15.99,5.35,Credit Card,EV005
TXN00020,10/23/2024,T002,E006,M016,4,14.99,59.96,,Venmo,EV014
TXN00021,08/02/2024,T001,E004,M022,1,8.99,8.99,2.71,CASH,EV007
TXN00022,04/11/2024,T002,E008,M014,2,6.99,13.98,7.0,CASH,
TXN00023,02/24/2024,T001,E001,M003,2,12.99,25.98,3.85,Venmo,EV006
TXN00024,07/17/2024,T004,E011,M009,4,6.99,27.96,7.66,VENMO,
TXN00025,03/24/2024,T002,E001,M002,5,15.99,79.95,,Credit card,EV002
TXN00026,10/30/2024,T002,E011,M002,5,10.99,54.95,0.55,CASH,EV008
TXN00027,07/29/2024,T002,E010,M019,5,8.99,44.95,3.35,Zelle,
TXN00028,14-06-2024,T002,E008,M022,3,14.99,44.97,1.05,credit card,EV011
TXN00029,02/11/2024,T001,E002,M003,5,14.99,74.95,1.06,Credit card,EV008
TXN00030,07/12/2024,T004,E001,M018,3,13.49,40.47,6.46,VENMO,
TXN00031,06-06-2024,T001,E005,M005,3,10.99,32.97,5.94,cash,EV010
TXN00032,11/09/2024,T003,E002,M007,3,15.99,47.97,7.24,Cash,EV014
TXN00033,05/25/2024,T003,E009,M025,2,6.99,13.98,3.53,Venmo,EV001
TXN00034,03/02/2024,T002,E001,M018,1,9.49,9.49,1.18,cash,EV010
TXN00035,09-07-2024,T001,E007,M012,2,14.99,29.98,2.83,VENMO,EV005
TXN00036,05-05-2024,T002,E011,M014,1,12.99,12.99,2.66,Venmo,EV008
TXN00037,05/20/2024,T001,E006,M013,1,7.99,7.99,6.53,venmo,EV010
TXN00038,04/30/2024,T002,E006,M013,3,6.99,20.97,7.74,credit card,
TXN00039,27-07-2024,T003,E001,M001,1,6.99,6.99,7.7,credit card,EV004
TXN00040,11/05/2024,T003,E004,M014,5,15.99,79.95,,Zelle,EV009
TXN00041,27-01-2024,T001,E010,M017,5,14.99,74.95,0.56,Credit card,EV011
TXN00042,09-12-2024,T003,E003,M017,3,11.49,34.47,5.58,VENMO,EV007
TXN00043,07-08-2024,T004,E005,M022,2,13.49,26.98,3.25,Cash,EV010
TXN00044,04/21/2024,T003,E011,M015,4,7.99,31.96,4.09,cash,EV003
TXN00045,05/29/2024,T003,E001,M003,2,6.99,13.98,1.59,Cash,EV008
TXN00046,04-09-2024,T001,E007,M015,4,13.49,53.96,5.57,venmo,EV008
TXN00047,20-03-2024,T001,E008,M025,1,11.49,11.49,6.43,VENMO,EV002
TXN00047,10/16/2024,T001,E006,M015,2,7.99,15.98,7.9,Zelle,EV015
TXN00049,13-11-2024,T004,E004,M018,4,12.99,51.96,3.8,credit card,EV009
TXN00050,09/27/2024,T002,E006,M009,4,10.99,43.96,1.88,Credit card,
TXN00051,02/15/2024,T002,E006,M013,2,14.99,29.98,,Venmo,
TXN00052,08/30/2024,T002,E007,M014,4,13.49,53.96,0.16,Zelle,
TXN00053,08-01-2024,T003,E004,M025,4,11.49,45.96,5.88,Zelle,
TXN00054,04/26/2024,T004,E008,M001,4,9.49,37.96,6.39,cash,EV005
TXN00055,11/18/2024,T004,E003,M019,5,8.99,44.95,,Venmo,EV015
TXN00056,04/07/2024,T004,E005,M011,2,7.99,15.98,6.09,Venmo,EV014
TXN00057,13-05-2024,T004,E011,M001,5,8.99,44.95,2.8,CASH,EV002
TXN00058,20-01-2024,T002,E010,M001,5,12.99,64.95,3.79,CASH,EV007
TXN00059,30-08-2024,T003,E005,M006,5,13.49,67.45,5.75,cash,EV004
TXN00060,10/27/2024,T003,E012,M019,4,11.49,45.96,1.59,Zelle,EV008
TXN00061,26-02-2024,T003,E006,M022,5,10.99,54.95,4.53,Cash,
TXN00062,11-08-2024,T001,E007,M017,3,8.99,26.97,6.58,CASH,EV012
TXN00063,25-11-2024,T004,E010,M023,2,11.49,22.98,4.17,credit card,
TXN00064,09/08/2024,T003,E010,M011,2,10.99,21.98,3.61,venmo,EV013
TXN00065,06/25/2024,T003,E010,M006,4,14.99,59.96,2.07,credit card,EV009
TXN00066,10/15/2024,T002,E011,M003,2,11.49,22.98,6.07,venmo,
TXN00067,21-08-2024,T001,E006,M010,2,11.49,22.98,2.45,Zelle,
TXN00068,10/14/2024,T004,E005,M024,5,9.49,47.45,3.63,credit card,EV008
TXN00069,06-03-2024,T003,E012,M004,5,12.99,64.95,5.91,credit card,
TXN00070,11/05/2024,T001,E003,M007,3,14.99,44.97,2.42,VENMO,EV009
TXN00071,28-01-2024,T003,E010,M023,2,7.99,15.98,,Cash,EV010
TXN00072,09/01/2024,T003,E007,M006,1,6.99,6.99,3.82,CASH,
TXN00073,02/11/2024,T001,E002,M005,2,13.49,26.98,0.68,Credit Card,
TXN00074,05-08-2024,T002,E007,M025,5,11.49,57.45,3.54,Zelle,EV010
TXN00075,22-10-2024,T001,E003,M025,2,14.99,29.98,0.65,Credit Card,
TXN00076,02/12/2024,T004,E012,M015,5,7.99,39.95,1.85,credit card,EV015
TXN00077,10-02-2024,T003,E005,M021,5,14.99,74.95,4.36,cash,EV005
TXN00078,02/10/2024,T003,E012,M020,5,6.99,34.95,3.75,credit card,EV013
TXN00079,05/23/2024,T004,E012,M015,1,13.49,13.49,,Venmo,EV011
TXN00080,11/09/2024,T001,E010,M008,5,13.49,67.45,8.0,credit card,EV002
TXN00081,04/03/2024,T004,E008,M009,2,13.49,26.98,6.51,CASH,EV012
TXN00082,08/01/2024,T001,E009,M006,3,11.49,34.47,2.31,Venmo,EV002
TXN00083,08/24/2024,T003,E011,M011,1,11.49,11.49,6.6,Cash,
TXN00084,08/28/2024,T002,E004,M017,3,13.49,40.47,5.0,Cash,EV009
TXN00085,10/12/2024,T003,E004,M015,4,10.99,43.96,,Zelle,EV006
TXN00086,06/12/2024,T004,E008,M003,2,10.99,21.98,0.94,cash,EV010
TXN00087,21-09-2024,T004,E010,M016,4,14.99,59.96,1.16,Credit Card,
TXN00088,14-03-2024,T003,E005,M025,4,9.49,37.96,4.06,Cash,EV010
TXN00089,10/31/2024,T004,E007,M005,4,15.99,63.96,2.66,VENMO,EV015
TXN00090,17-06-2024,T002,E012,M019,4,14.99,59.96,3.29,Credit card,
TXN00091,07/18/2024,T002,E008,M016,1,12.99,12.99,4.72,CASH,EV004
TXN00092,30-09-2024,T001,E008,M024,2,11.49,22.98,7.76,CASH,EV009
TXN00093,26-06-2024,T004,E006,M021,1,9.49,9.49,6.87,Venmo,
TXN00094,10/08/2024,T001,E011,M008,3,14.99,44.97,3.47,CASH,EV004
TXN00095,08/19/2024,T003,E007,M001,1,9.49,9.49,2.35,Credit card,EV005
TXN00096,05/09/2024,T002,E008,M006,2,10.99,21.98,3.06,Credit Card,EV005
TXN00097,05/02/2024,T003,E011,M015,3,8.99,26.97,3.72,credit card,
TXN00098,03/25/2024,T003,E004,M019,3,11.49,34.47,3.65,credit card,EV013
TXN00099,09/08/2024,T004,E011,M019,3,13.49,40.47,5.59,Cash,EV013
TXN00100,05/24/2024,T001,E004,M020,4,6.99,27.96,1.84,Credit card,EV007
TXN00101,11/17/2024,T002,E006,M021,1,8.99,8.99,3.53,Zelle,EV005
TXN00102,20-02-2024,T003,E009,M024,4,12.99,51.96,6.29,Credit card,
TXN00103,23-05-2024,T003,E003,M016,3,9.49,28.47,3.75,CASH,EV008
TXN00104,16-12-2024,T004,E002,M018,3,10.99,32.97,0.11,VENMO,EV015
TXN00105,11-07-2024,T003,E008,M019,4,9.49,37.96,,Credit Card,EV001
TXN00106,17-11-2024,T003,E011,M020,2,10.99,21.98,3.71,credit card,EV014
TXN00107,03/04/2024,T001,E003,M010,4,10.99,43.96,,VENMO,EV013
TXN00108,08/24/2024,T004,E007,M019,2,11.49,22.98,6.67,Zelle,EV009
TXN00109,21-01-2024,T002,E009,M015,4,14.99,59.96,0.79,Credit card,EV012
TXN00110,02/05/2024,T002,E001,M004,4,10.99,43.96,5.13,Zelle,EV002
TXN00111,06/23/2024,T002,E004,M019,2,10.99,21.98,4.43,Zelle,EV008
TXN00112,21-06-2024,T001,E011,M009,2,12.99,25.98,6.39,CASH,EV001
TXN00113,03/12/2024,T002,E009,M019,3,8.99,26.97,0.42,Venmo,EV004
TXN00114,02/06/2024,T003,E001,M017,5,10.99,54.95,1.77,Zelle,
TXN00115,06/07/2024,T001,E002,M002,4,11.49,45.96,0.86,venmo,EV003
TXN00116,17-06-2024,T001,E007,M005,3,13.49,40.47,4.39,Credit card,
TXN00117,06/03/2024,T004,E004,M004,1,15.99,15.99,1.72,venmo,EV014
TXN00118,26-06-2024,T004,E003,M014,1,9.49,9.49,5.32,Credit card,
TXN00119,02/08/2024,T001,E009,M003,4,10.99,43.96,2.98,cash,EV002
TXN00120,31-10-2024,T003,E012,M022,1,11.49,11.49,5.32,Venmo,EV002
TXN00121,31-05-2024,T003,E002,M004,5,15.99,79.95,5.25,Credit Card,EV012
TXN00122,10/15/2024,T003,E010,M019,2,11.49,22.98,7.8,Zelle,
TXN00123,18-01-2024,T003,E006,M001,2,6.99,13.98,2.47,Credit card,EV001
TXN00123,06-04-2024,T004,E004,M003,2,8.99,17.98,,VENMO,EV013
TXN00125,08/06/2024,T002,E001,M012,3,9.49,28.47,4.54,CASH,EV005
TXN00126,25-03-2024,T001,E008,M022,1,6.99,6.99,3.39,Zelle,EV014
TXN00127,05/23/2024,T001,E009,M012,4,10.99,43.96,5.43,venmo,EV010
TXN00128,01/28/2024,T001,E005,M001,2,6.99,13.98,6.14,credit card,EV011
TXN00129,03/06/2024,T004,E011,M006,2,11.49,22.98,1.84,VENMO,EV012
TXN00130,02/10/2024,T001,E007,M014,1,7.99,7.99,6.9,Zelle,EV013
TXN00131,11/27/2024,T001,E012,M013,1,9.49,9.49,7.58,venmo,EV012
TXN00132,02/19/2024,T001,E012,M008,4,13.49,53.96,0.63,credit card,EV011
TXN00133,04/27/2024,T002,E006,M003,5,10.99,54.95,1.55,Credit card,EV005
TXN00134,05/04/2024,T003,E003,M007,2,13.49,26.98,6.07,CASH,
TXN00135,29-08-2024,T004,E003,M022,5,13.49,67.45,7.77,Credit card,EV015
TXN00136,02/08/2024,T003,E008,M009,5,8.99,44.95,0.59,venmo,EV002
TXN00137,02/03/2024,T003,E009,M003,1,13.49,13.49,3.08,Zelle,EV002
TXN00138,22-08-2024,T002,E002,M011,5,7.99,39.95,7.66,venmo,EV011
TXN00139,02/17/2024,T002,E003,M002,2,7.99,15.98,4.19,Zelle,EV012
TXN00140,13-07-2024,T004,E002,M014,3,13.49,40.47,,Credit card,EV011
TXN00141,02/22/2024,T004,E011,M010,3,13.49,40.47,2.67,Zelle,EV005
TXN00142,07/02/2024,T004,E003,M005,5,10.99,54.95,3.01,Credit card,
TXN00143,21-02-2024,T004,E006,M017,3,8.99,26.97,1.44,Credit Card,
TXN00144,04/12/2024,T002,E012,M005,1,6.99,6.99,0.81,VENMO,
TXN00145,24-01-2024,T002,E003,M020,4,12.99,51.96,6.65,Zelle,EV015
TXN00146,01/27/2024,T002,E009,M015,5,6.99,34.95,6.27,Credit Card,EV008
TXN00147,11-06-2024,T004,E007,M007,3,13.49,40.47,3.69,credit card,
TXN00148,10/01/2024,T002,E006,M007,5,12.99,64.95,0.42,venmo,
TXN00149,26-02-2024,T001,E007,M010,1,12.99,12.99,7.24,cash,EV003
TXN00150,27-04-2024,T003,E002,M001,4,8.99,35.96,2.99,Venmo,EV012
TXN00151,04/28/2024,T001,E008,M023,3,12.99,38.97,,credit card,EV005
TXN00152,09/01/2024,T001,E009,M003,1,6.99,6.99,1.2,Zelle,EV014
TXN00153,01-03-2024,T002,E008,M010,1,8.99,8.99,5.11,Zelle,EV003
TXN00154,01-03-2024,T004,E005,M020,5,8.99,44.95,4.6,cash,EV014
TXN00155,05-01-2024,T002,E002,M019,4,12.99,51.96,0.68,Credit card,
TXN00156,10/09/2024,T001,E012,M013,4,8.99,35.96,7.85,credit card,EV001
TXN00157,05-07-2024,T003,E006,M008,1,13.49,13.49,2.66,Cash,
TXN00158,26-06-2024,T002,E012,M025,4,7.99,31.96,6.49,CASH,EV015
TXN00159,01/23/2024,T001,E008,M007,1,9.49,9.49,4.12,VENMO,EV009
TXN00160,23-01-2024,T002,E006,M010,3,8.99,26.97,2.66,CASH,EV014
TXN00161,27-07-2024,T004,E005,M011,2,7.99,15.98,2.94,VENMO,EV003
TXN00162,08/09/2024,T002,E011,M018,3,9.49,28.47,,Credit card,EV010
TXN00163,06/09/2024,T004,E010,M006,4,9.49,37.96,5.81,Credit card,EV014
TXN00164,24-05-2024,T001,E001,M003,4,9.49,37.96,6.0,cash,EV005
TXN00165,11-11-2024,T004,E007,M002,2,10.99,21.98,5.16,Credit card,EV002
TXN00166,11/09/2024,T004,E006,M012,3,7.99,23.97,4.59,VENMO,EV013
TXN00167,13-06-2024,T002,E002,M004,1,12.99,12.99,3.1,VENMO,EV009
TXN00168,17-05-2024,T002,E008,M020,3,7.99,23.97,1.09,CASH,EV006
TXN00169,19-08-2024,T003,E003,M022,3,10.99,32.97,2.32,credit card,EV006
TXN00170,07/08/2024,T001,E010,M007,2,14.99,29.98,0.21,VENMO,EV012
TXN00171,31-08-2024,T002,E009,M020,1,10.99,10.99,8.0,venmo,EV014
TXN00172,01-08-2024,T001,E003,M005,3,10.99,32.97,5.44,Credit card,
TXN00173,11/27/2024,T002,E003,M014,5,8.99,44.95,4.14,credit card,EV006
TXN00174,18-06-2024,T002,E005,M012,5,6.99,34.95,2.0,VENMO,EV005
TXN00175,11/20/2024,T001,E012,M017,2,13.49,26.98,1.23,Zelle,EV011
TXN00176,10/19/2024,T001,E007,M003,1,13.49,13.49,1.69,Zelle,EV001
TXN00177,15-09-2024,T003,E005,M021,3,7.99,23.97,6.46,Venmo,EV015
TXN00178,11-02-2024,T002,E006,M015,4,7.99,31.96,2.72,cash,EV011
TXN00179,29-06-2024,T002,E002,M025,3,15.99,47.97,2.55,venmo,EV009
TXN00180,08/22/2024,T001,E006,M002,3,11.49,34.47,3.35,cash,EV011
TXN00181,11-04-2024,T004,E007,M017,4,7.99,31.96,3.98,CASH,
TXN00182,26-08-2024,T002,E010,M019,3,8.99,26.97,,venmo,
TXN00183,05/30/2024,T001,E001,M014,2,6.99,13.98,6.11,Credit card,EV013
TXN00184,01/31/2024,T002,E008,M012,5,6.99,34.95,,VENMO,
TXN00185,27-05-2024,T001,E006,M005,1,11.49,11.49,7.89,VENMO,EV005
TXN00186,15-04-2024,T004,E008,M017,1,8.99,8.99,,Credit card,
TXN00187,08/25/2024,T002,E010,M011,5,9.49,47.45,7.92,credit card,EV011
TXN00188,20-09-2024,T004,E011,M023,5,6.99,34.95,0.13,Credit card,EV004
TXN00189,08/05/2024,T001,E010,M020,4,6.99,27.96,6.26,Zelle,EV008
TXN00190,01/31/2024,T002,E001,M017,5,11.49,57.45,,Credit Card,EV004
TXN00191,04/11/2024,T003,E008,M014,2,11.49,22.98,3.28,Zelle,EV002
TXN00192,03/15/2024,T003,E009,M022,4,15.99,63.96,7.65,venmo,EV011
TXN00193,10/10/2024,T003,E004,M020,4,14.99,59.96,2.23,credit card,EV010
TXN00194,31-05-2024,T004,E005,M011,4,9.49,37.96,7.48,credit card,EV004
TXN00195,24-10-2024,T004,E006,M013,3,12.99,38.97,2.3,CASH,EV015
TXN00196,12/05/2024,T004,E003,M007,2,15.99,31.98,4.5,credit card,EV004
TXN00197,15-11-2024,T002,E007,M008,1,15.99,15.99,1.86,CASH,EV011
TXN00198,09/02/2024,T002,E008,M001,5,12.99,64.95,7.48,venmo,EV007
TXN00199,05/31/2024,T001,E003,M025,1,13.49,13.49,5.91,Cash,EV014
TXN00200,04-04-2024,T001,E001,M013,4,12.99,51.96,7.7,credit card,EV001
TXN00201,06/05/2024,T001,E003,M011,-2,7.99,-24.99,,venmo,
TXN00202,08/31/2024,T001,E012,M011,2,7.99,15.98,5.75,Cash,EV011
TXN00203,06/04/2024,T002,E007,M006,5,11.49,57.45,4.12,CASH,EV004
TXN00204,08-04-2024,T004,E006,M011,2,8.99,17.98,1.88,credit card,EV010
TXN00205,29-10-2024,T001,E008,M009,3,14.99,44.97,,CASH,EV010
TXN00206,03/26/2024,T003,E008,M023,1,6.99,6.99,1.77,cash,EV005
TXN00207,24-08-2024,T003,E004,M014,5,7.99,39.95,6.42,Credit Card,EV003
TXN00208,09/30/2024,T003,E009,M003,5,10.99,54.95,,VENMO,EV007
TXN00209,10/24/2024,T002,E012,M011,5,7.99,39.95,,Credit Card,
TXN00210,20-02-2024,T004,E009,M002,4,12.99,51.96,3.65,Cash,EV015
TXN00211,14-12-2024,T001,E007,M013,3,8.99,26.97,4.63,Cash,EV012
TXN00212,02/06/2024,T001,E011,M003,4,8.99,35.96,1.44,cash,EV014
TXN00213,14-07-2024,T004,E003,M015,4,11.49,45.96,,VENMO,EV012
TXN00214,03/05/2024,T004,E008,M017,2,14.99,29.98,6.05,credit card,
TXN00215,08/09/2024,T002,E001,M008,4,9.49,37.96,1.51,CASH,EV014
TXN00216,14-11-2024,T001,E008,M008,2,10.99,21.98,,Cash,EV002
TXN00217,09-05-2024,T004,E003,M015,2,15.99,31.98,6.91,Cash,
TXN00218,06/01/2024,T003,E004,M019,5,9.49,47.45,7.01,VENMO,EV014
TXN00219,06/06/2024,T002,E009,M021,4,15.99,63.96,7.78,Venmo,EV011
TXN00220,08/05/2024,T003,E012,M013,2,15.99,31.98,6.79,credit card,EV005
TXN00221,29-08-2024,T004,E005,M014,5,15.99,79.95,,Credit Card,EV007
TXN00222,22-06-2024,T004,E007,M012,1,15.99,15.99,1.52,credit card,EV002
TXN00223,02/11/2024,T002,E004,M016,2,9.49,18.98,7.27,Credit Card,EV004
TXN00224,06-09-2024,T002,E009,M013,2,15.99,31.98,2.26,venmo,EV012
TXN00225,06/10/2024,T004,E006,M015,1,7.99,7.99,2.56,Credit Card,EV011
TXN00226,08/03/2024,T002,E012,M024,2,8.99,17.98,7.48,Zelle,EV014
TXN00227,06/04/2024,T003,E005,M008,4,13.49,53.96,3.99,Credit card,
TXN00228,28-11-2024,T004,E008,M006,3,12.99,38.97,,VENMO,EV006
TXN00229,08-10-2024,T001,E007,M017,1,10.99,10.99,5.35,Cash,EV005
TXN00230,11/22/2024,T002,E008,M001,2,15.99,31.98,0.48,Zelle,
TXN00231,01/13/2024,T004,E001,M001,1,15.99,15.99,4.29,credit card,
TXN00232,12/15/2024,T002,E010,M004,1,15.99,15.99,,Credit Card,
TXN00233,13-05-2024,T003,E012,M013,1,9.49,9.49,3.67,Credit Card,EV008
TXN00234,06-06-2024,T001,E001,M021,1,10.99,10.99,3.02,venmo,EV001
TXN00235,04/01/2024,T004,E001,M021,3,13.49,40.47,7.79,VENMO,EV008
TXN00236,22-04-2024,T004,E010,M009,1,10.99,10.99,2.24,VENMO,EV002
TXN00237,05-04-2024,T003,E002,M001,2,13.49,26.98,,Venmo,EV010
TXN00238,03/28/2024,T004,E009,M022,5,9.49,47.45,5.92,CASH,EV012
TXN00239,02/01/2024,T002,E006,M003,3,13.49,40.47,7.64,Venmo,EV001
TXN00240,11/24/2024,T004,E011,M016,2,9.49,18.98,3.0,cash,EV013
TXN00241,17-02-2024,T003,E012,M008,1,10.99,10.99,3.04,cash,EV013
TXN00242,06/15/2024,T001,E002,M001,3,7.99,23.97,2.16,cash,EV006
TXN00243,08/12/2024,T004,E006,M004,1,10.99,10.99,0.74,Zelle,EV013
TXN00244,01/11/2024,T004,E009,M025,1,15.99,15.99,7.83,Zelle,EV006
TXN00245,12/20/2024,T002,E005,M009,3,6.99,20.97,0.51,Venmo,EV014
TXN00246,06/06/2024,T001,E004,M012,3,14.99,44.97,3.97,Zelle,EV015
TXN00247,02/28/2024,T001,E006,M013,3,13.49,40.47,6.9,venmo,EV014
TXN00248,03-12-2024,T002,E003,M010,3,13.49,40.47,1.61,Credit card,EV013
